Name;Art;Longitude;Latitude;Link
Havena;Metropole_Karte;-3.149469887527394;29.07757963357658;
Punin;Metropole_Karte;2.632760501467018;27.04451346970674;
Festum;Metropole_Karte;10.111237;33.919103;
Gareth;Metropole_Karte;3.735098459067687;29.79180235685203;
Kuslik;Metropole_Karte;-1.550894328410071;25.13238805995011;
Vinsalt;Metropole_Karte;-0.5755950722978076;25.60990092532824;
Al'Anfa;Metropole_Karte;-0.8037544610603009;18.44054263750952;
Fasar;Metropole_Karte;4.549316;26.519517;
Baan Bashur;Metropole;-61.14369417529879;20.7595390490834;
Dorinthapoles;Metropole;-57.43225160753966;19.22010722983941;
Haldingaford;Metropole;-47.37680512483463;28.63276919332234;
Karónu;Metropole;-63.75703010362415;23.09471116899207;
Ochobik;Metropole;-57.01542546735293;24.20418542426908;
Sidor Corabis;Metropole;-55.96414859644411;15.87835931050199;
Trivina;Metropole;-49.19115053063481;20.13145509138183;
Valdur Harpalis;Metropole;-67.88981786554516;20.1303984840895;
Balan Cantara;Metropole_Karte;-53.402921;3.880022;
Balan Mayek;Metropole;-53.880115;11.622728;
Eratu;Metropole;-47.753916;11.058989;
Eshbathmar;Metropole_Karte;-48.181714;-10.929507;
Guretta;Metropole;-47.548880;3.805128;
Kerrish Djanar;Metropole;-38.473410;1.170721;
Kerrish-Thalam;Metropole;-44.605933;-20.923534;
Koreshbath;Metropole;-51.662277;-12.74531;
Melakkam;Metropole_Karte;-40.443143;1.572648;
Metropole in der Nakramar;Metropole;-56.483767;-10.910432;
Nahambath;Metropole;-50.576507;-8.220394;
Nessahabath;Metropole;-52.694713;-10.703247;
Par-Al-Narkram;Metropole;-49.754814;-9.447254;
Salahbatlama;Metropole_Karte;-53.632930;-9.102360;
Sidor Talika;Metropole;-45.982230;7.321630;
Tokum Isoru;Metropole;-47.697558;0.261193;
Usuzura;Metropole;-39.881958;-24.590982;
Valdur Bedrah;Metropole;-46.393582;5.194675;
Valdur Methelis;Metropole;-52.638906;3.638906;
Sidor Valantis;Metropole;-59.73462619577269;13.55628568027179;
Xarxaras;Metropole;-69.96518102651746;3.886139782528569;
Yal-Mordai;Metropole_Rakshazar;49.33403146223159;27.21178390469;
Shahana;Metropole_Rakshazar;41.27898685646073;30.14597423416731;
Ribukan;Metropole_Rakshazar;56.39611449351128;18.29429099133775;
Baburin;Grossstadt_Karte;5.763380;28.085388;
Elburum;Grossstadt_Karte;8.719976;27.156839;
Zorgan;Grossstadt_Karte;6.982814;27.148798;
Wehrheim;Grossstadt_Karte;3.966687;30.960123;Wehrheim (historisch)
Wehrheim;Sonstige_Ruine;3.966687;30.960123;
Rommilys;Grossstadt_Karte;5.238014;29.886815;
Perricum;Grossstadt_Karte;6.37195638678745;29.0013834295218;
Khunchom;Grossstadt_Karte;7.457900;25.029491;
Rashdul;Grossstadt_Karte;6.276636;24.235783;
Thalusa;Grossstadt_Karte;6.273288;22.792133;
Grangor;Grossstadt_Karte;-1.220259;26.381026;
Belhanka;Grossstadt_Karte;-1.114434;24.359233;
Arivor;Grossstadt_Karte;-.998536;25.168245;
Silas;Stadt_Karte;-.705023;24.846678;
Silas;Grossstadt_Karte;-.705023;24.846678;
Neetha;Grossstadt_Karte;-.418643;23.471768;
Methumis;Stadt_Karte;-.608753;24.411092;
Methumis;Grossstadt_Karte;-.608753;24.411092;
Mherwed;Grossstadt_Karte;5.896978;24.306947;
Unau;Grossstadt_Karte;3.49397;22.549083;
Angbar;Grossstadt_Karte;1.403918;29.883902;
Tuzak;Grossstadt_Karte;9.368811;23.561552;
Boran;Grossstadt_Karte;10.531945;24.799199;
Jergan;Grossstadt_Karte;10.844603;27.354372;
Mengbilla;Grossstadt_Karte;-.971348555734451;21.7684509333093;
Iolon;Grossstadt;-48.75826527084576;17.65270629358961;
Abdera;Grossstadt;-59.040357;11.836971;
Alonaia;Grossstadt;-53.450845;14.775649;
Alonka;Grossstadt;-35.625626;5.921001;
Alwattanam;Grossstadt;-51.249731;-1.145556;
Amphias;Grossstadt;-57.933967;12.600956;
